#chromosome	arm	band	iscn_start	iscn_stop	bp_start	bp_stop	stain	density	bases
1	p	13.1	6660	6861	115900000	117600000	gneg		1700001
1	p	13.1d	6660	6710	115900000	116325000	gneg		425001
1	p	13.1c	6711	6761	116325001	116750000	gneg		425000
1	p	13.1b	6762	6811	116750001	117175000	gneg		425000
1	p	13.1a	6812	6861	117175001	117600000	gneg		425000
1	p	12	6861	7048	117600000	120700000	gpos	50	3100001
1	p	12c	6861	6923	117600000	118633333	gpos	50	1033334
1	p	12b	6924	6986	118633334	119666667	gpos	50	1033334
1	p	12a	6987	7048	119666668	120700000	gpos	50	1033333
1	p	11	7048	7335	120700000	124300000			3600001
1	p	11.2	7048	7119	120700000	121100000	gneg		400001
1	p	11.2a	7048	7119	120700000	121100000	gneg		400001
1	p	11.1	7119	7335	121100000	124300000	acen		3200001
1	p	11.1d	7119	7173	121100000	121900000	acen		800001
1	p	11.1c	7174	7227	121900001	122700000	acen		800000
1	p	11.1b	7228	7281	122700001	123500000	acen		800000
1	p	11.1a	7282	7335	123500001	124300000	acen		800000
1	cen		7335	7335	124300000	124300000			1
1	p	10	7335	7335	124300000	124300000			1
1	q		7335	15100	124300000	247249719			122949720
1	q	1	7335	8483	124300000	142400000			18100001
1	q	10	7335	7335	124300000	124300000			1
1	q	11	7335	7579	124300000	128000000	acen		3700001
1	q	11a	7335	7396	124300000	125225000	acen		925001
1	q	11b	7397	7457	125225001	126150000	acen		925000
1	q	11c	7458	7518	126150001	127075000	acen		925000
1	q	11d	7519	7579	127075001	128000000	acen		925000
1	q	12	7579	8483	128000000	142400000	gvar		14400001
1	q	12a	7579	7636	128000000	128900000	gvar		900001
1	q	12b	7637	7692	128900001	129800000	gvar		900000
1	q	12c	7693	7749	129800001	130700000	gvar		900000
1	q	12d	7750	7805	130700001	131600000	gvar		900000
1	q	12e	7806	7862	131600001	132500000	gvar		900000
1	q	12f	7863	7918	132500001	133400000	gvar		900000
1	q	12g	7919	7975	133400001	134300000	gvar		900000
1	q	12h	7976	8031	134300001	135200000	gvar		900000
1	q	12i	8032	8088	135200001	136100000	gvar		900000
1	q	12j	8089	8144	136100001	137000000	gvar		900000
1	q	12k	8145	8201	137000001	137900000	gvar		900000
1	q	12l	8202	8257	137900001	138800000	gvar		900000
1	q	12m	8258	8314	138800001	139700000	gvar		900000
1	q	12n	8315	8370	139700001	140600000	gvar		900000
1	q	12o	8371	8427	140600001	141500000	gvar		900000
1	q	12p	8428	8483	141500001	142400000	gvar		900000
1	q	2	8483	11598	142400000	184000000			41600001
1	q	21	8483	9244	142400000	153300000			10900001
1	q	21.1	8483	8756	142400000	148000000	gneg		5600001
1	q	21.1a	8483	8538	142400000	143520000	gneg		1120001
1	q	21.1b	8539	8592	143520001	144640000	gneg		1120000
1	q	21.1c	8593	8647	144640001	145760000	gneg		1120000
1	q	21.1d	8648	8701	145760001	146880000	gneg		1120000
1	q	21.1e	8702	8756	146880001	148000000	gneg		1120000
1	q	21.2	8756	8957	148000000	149600000	gpos	50	1600001
1	q	21.2a	8756	8806	148000000	148400000	gpos	50	400001
1	q	21.2b	8807	8857	148400001	148800000	gpos	50	400000
1	q	21.2c	8858	8907	148800001	149200000	gpos	50	400000
1	q	21.2d	8908	8957	149200001	149600000	gpos	50	400000
1	q	21.3	8957	9244	149600000	153300000	gneg		3700001
1	q	21.3a	8957	9014	149600000	150340000	gneg		740001
1	q	21.3b	9015	9072	150340001	151080000	gneg		740000
1	q	21.3c	9073	9129	151080001	151820000	gneg		740000
1	q	21.3d	9130	9187	151820001	152560000	gneg		740000
1	q	21.3e	9188	9244	152560001	153300000	gneg		740000
1	q	22	9244	9459	153300000	154800000	gpos	50	1500001
1	q	22a	9244	9298	153300000	153675000	gpos	50	375001
1	q	22b	9299	9352	153675001	154050000	gpos	50	375000
1	q	22c	9353	9405	154050001	154425000	gpos	50	375000
1	q	22d	9406	9459	154425001	154800000	gpos	50	375000
1	q	23	9459	10349	154800000	163800000			9000001
1	q	23.1	9459	9832	154800000	157300000	gneg		2500001
1	q	23.1a	9459	9512	154800000	155157143	gneg		357144
1	q	23.1b	9513	9566	155157144	155514286	gneg		357143
1	q	23.1c	9567	9619	155514287	155871429	gneg		357143
1	q	23.1d	9620	9672	155871430	156228571	gneg		357142
1	q	23.1e	9673	9725	156228572	156585714	gneg		357143
1	q	23.1f	9726	9779	156585715	156942857	gneg		357143
1	q	23.1g	9780	9832	156942858	157300000	gneg		357143
1	q	23.2	9832	10048	157300000	158800000	gpos	50	1500001
1	q	23.2a	9832	9886	157300000	157675000	gpos	50	375001
1	q	23.2b	9887	9940	157675001	158050000	gpos	50	375000
1	q	23.2c	9941	9994	158050001	158425000	gpos	50	375000
1	q	23.2d	9995	10048	158425001	158800000	gpos	50	375000
1	q	23.3	10048	10349	158800000	163800000	gneg		5000001
1	q	23.3a	10048	10108	158800000	159800000	gneg		1000001
1	q	23.3b	10109	10168	159800001	160800000	gneg		1000000
1	q	23.3c	10169	10229	160800001	161800000	gneg		1000000
1	q	23.3d	10230	10289	161800001	162800000	gneg		1000000
1	q	23.3e	10290	10349	162800001	163800000	gneg		1000000
1	q	24	10349	10894	163800000	171200000			7400001
1	q	24.1	10349	10507	163800000	165500000	gpos	50	1700001
1	q	24.1a	10349	10402	163800000	164366667	gpos	50	566668
1	q	24.1b	10403	10454	164366668	164933333	gpos	50	566666
1	q	24.1c	10455	10507	164933334	165500000	gpos	50	566667
1	q	24.2	10507	10679	165500000	169100000	gneg		3600001
1	q	24.2a	10507	10564	165500000	166700000	gneg		1200001
1	q	24.2b	10565	10622	166700001	167900000	gneg		1200000
1	q	24.2c	10623	10679	167900001	169100000	gneg		1200000
1	q	24.3	10679	10894	169100000	171200000	gpos	75	2100001
1	q	24.3a	10679	10733	169100000	169625000	gpos	75	525001
1	q	24.3b	10734	10787	169625001	170150000	gpos	75	525000
1	q	24.3c	10788	10840	170150001	170675000	gpos	75	525000
1	q	24.3d	10841	10894	170675001	171200000	gpos	75	525000
1	q	25	10894	11598	171200000	184000000			12800001
1	q	25.1	10894	11009	171200000	174300000	gneg		3100001
1	q	25.1a	10894	10952	171200000	172750000	gneg		1550001
1	q	25.1b	10953	11009	172750001	174300000	gneg		1550000
1	q	25.2	11009	11196	174300000	178600000	gpos	50	4300001
1	q	25.2a	11009	11071	174300000	175733333	gpos	50	1433334
1	q	25.2b	11072	11134	175733334	177166667	gpos	50	1433334
1	q	25.2c	11135	11196	177166668	178600000	gpos	50	1433333
1	q	25.3	11196	11598	178600000	184000000	gneg		5400001
1	q	25.3a	11196	11253	178600000	179371429	gneg		771430
1	q	25.3b	11254	11311	179371430	180142857	gneg		771428
1	q	25.3c	11312	11368	180142858	180914286	gneg		771429
1	q	25.3d	11369	11426	180914287	181685714	gneg		771428
1	q	25.3e	11427	11483	181685715	182457143	gneg		771429
1	q	25.3f	11484	11541	182457144	183228571	gneg		771428
1	q	25.3g	11542	11598	183228572	184000000	gneg		771429
1	q	3	11598	13033	184000000	212100000			28100001
1	q	31	11598	12172	184000000	197500000			13500001
1	q	31.1	11598	11827	184000000	189000000	gpos	100	5000001
1	q	31.1a	11598	11655	184000000	185250000	gpos	100	1250001
1	q	31.1b	11656	11713	185250001	186500000	gpos	100	1250000
1	q	31.1c	11714	11770	186500001	187750000	gpos	100	1250000
1	q	31.1d	11771	11827	187750001	189000000	gpos	100	1250000
1	q	31.2	11827	11942	189000000	192100000	gneg		3100001
1	q	31.2a	11827	11885	189000000	190550000	gneg		1550001
1	q	31.2b	11886	11942	190550001	192100000	gneg		1550000
1	q	31.3	11942	12172	192100000	197500000	gpos	100	5400001
1	q	31.3a	11942	12000	192100000	193450000	gpos	100	1350001
1	q	31.3b	12001	12057	193450001	194800000	gpos	100	1350000
1	q	31.3c	12058	12115	194800001	196150000	gpos	100	1350000
1	q	31.3d	12116	12172	196150001	197500000	gpos	100	1350000
1	q	32	12172	13033	197500000	212100000			14600001
1	q	32.1	12172	12617	197500000	205300000	gneg		7800001
1	q	32.1a	12172	12228	197500000	198475000	gneg		975001
1	q	32.1b	12229	12283	198475001	199450000	gneg		975000
1	q	32.1c	12284	12339	199450001	200425000	gneg		975000
1	q	32.1d	12340	12395	200425001	201400000	gneg		975000
1	q	32.1e	12396	12450	201400001	202375000	gneg		975000
1	q	32.1f	12451	12506	202375001	203350000	gneg		975000
1	q	32.1g	12507	12561	203350001	204325000	gneg		975000
1	q	32.1h	12562	12617	204325001	205300000	gneg		975000
1	q	32.2	12617	12803	205300000	209500000	gpos	25	4200001
1	q	32.2a	12617	12679	205300000	206700000	gpos	25	1400001
1	q	32.2b	12680	12741	206700001	208100000	gpos	25	1400000
1	q	32.2c	12742	12803	208100001	209500000	gpos	25	1400000
1	q	32.3	12803	13033	209500000	212100000	gneg		2600001
1	q	32.3a	12803	12861	209500000	210150000	gneg		650001
1	q	32.3b	12862	12918	210150001	210800000	gneg		650000
1	q	32.3c	12919	12976	210800001	211450000	gneg		650000
1	q	32.3d	12977	13033	211450001	212100000	gneg		650000
1	q	4	13033	15100	212100000	247249719			35149720
1	q	41	13033	13320	212100000	222100000	gpos	100	10000001
1	q	41a	13033	13090	212100000	214100000	gpos	100	2000001
1	q	41b	13091	13148	214100001	216100000	gpos	100	2000000
1	q	41c	13149	13205	216100001	218100000	gpos	100	2000000
1	q	41d	13206	13263	218100001	220100000	gpos	100	2000000
1	q	41e	13264	13320	220100001	222100000	gpos	100	2000000
1	q	42	13320	14397	222100000	234600000			12500001
1	q	42.1	13320	13966	222100000	228800000			6700001
1	q	42.11	13320	13406	222100000	222700000	gneg		600001
1	q	42.11a	13320	13363	222100000	222400000	gneg		300001
1	q	42.11b	13364	13406	222400001	222700000	gneg		300000
1	q	42.12	13406	13607	222700000	225100000	gpos	25	2400001
1	q	42.12a	13406	13456	222700000	223300000	gpos	25	600001
1	q	42.12b	13457	13507	223300001	223900000	gpos	25	600000
1	q	42.12c	13508	13557	223900001	224500000	gpos	25	600000
1	q	42.12d	13558	13607	224500001	225100000	gpos	25	600000
1	q	42.13	13607	13966	225100000	228800000	gneg		3700001
1	q	42.13a	13607	13667	225100000	225716667	gneg		616668
1	q	42.13b	13668	13727	225716668	226333333	gneg		616666
1	q	42.13c	13728	13787	226333334	226950000	gneg		616667
1	q	42.13d	13788	13846	226950001	227566667	gneg		616667
1	q	42.13e	13847	13906	227566668	228183333	gneg		616666
1	q	42.13f	13907	13966	228183334	228800000	gneg		616667
1	q	42.2	13966	14153	228800000	232700000	gpos	50	3900001
1	q	42.2a	13966	14028	228800000	230100000	gpos	50	1300001
1	q	42.2b	14029	14091	230100001	231400000	gpos	50	1300000
1	q	42.2c	14092	14153	231400001	232700000	gpos	50	1300000
1	q	42.3	14153	14397	232700000	234600000	gneg		1900001
1	q	42.3a	14153	14214	232700000	233175000	gneg		475001
1	q	42.3b	14215	14275	233175001	233650000	gneg		475000
1	q	42.3c	14276	14336	233650001	234125000	gneg		475000
1	q	42.3d	14337	14397	234125001	234600000	gneg		475000
1	q	43	14397	14756	234600000	241700000	gpos	75	7100001
1	q	43a	14397	14457	234600000	235783333	gpos	75	1183334
1	q	43b	14458	14517	235783334	236966667	gpos	75	1183334
1	q	43c	14518	14577	236966668	238150000	gpos	75	1183333
1	q	43d	14578	14636	238150001	239333333	gpos	75	1183333
1	q	43e	14637	14696	239333334	240516667	gpos	75	1183334
1	q	43f	14697	14756	240516668	241700000	gpos	75	1183333
1	q	44	14756	15100	241700000	247249719	gneg		5549720
1	q	44a	14756	14813	241700000	242624953	gneg		924954
1	q	44b	14814	14871	242624954	243549906	gneg		924953
1	q	44c	14872	14928	243549907	244474859	gneg		924953
1	q	44d	14929	14985	244474860	245399813	gneg		924954
1	q	44e	14986	15043	245399814	246324766	gneg		924953
1	q	44f	15044	15100	246324767	247249719	gneg		924953
1	q	ter	15100	15101	247249720	247249720			1
2	p	ter	0	1	0	0			1
2	p		0	5545	1	93300000			93300000
2	p	2	0	2966	1	47600000			47600000
2	p	25	0	954	1	12800000			12800000
2	p	25.3	0	388	1	4300000	gneg		4300000
2	p	25.3g	0	55	1	614287	gneg		614287
2	p	25.3f	56	111	614288	1228572	gneg		614285
2	p	25.3e	112	166	1228573	1842858	gneg		614286
2	p	25.3d	167	222	1842859	2457143	gneg		614285
2	p	25.3c	223	277	2457144	3071429	gneg		614286
2	p	25.3b	278	333	3071430	3685714	gneg		614285
2	p	25.3a	334	388	3685715	4300000	gneg		614286
2	p	25.2	388	566	4300000	7000000	gpos	50	2700001
2	p	25.2c	388	447	4300000	5200000	gpos	50	900001
2	p	25.2b	448	507	5200001	6100000	gpos	50	900000
2	p	25.2a	508	566	6100001	7000000	gpos	50	900000
2	p	25.1	566	954	7000000	12800000	gneg		5800001
2	p	25.1g	566	621	7000000	7828571	gneg		828572
2	p	25.1f	622	677	7828572	8657143	gneg		828572
2	p	25.1e	678	732	8657144	9485714	gneg		828571
2	p	25.1d	733	788	9485715	10314286	gneg		828572
2	p	25.1c	789	843	10314287	11142857	gneg		828571
2	p	25.1b	844	899	11142858	11971429	gneg		828572
2	p	25.1a	900	954	11971430	12800000	gneg		828571
2	p	24	954	1565	12800000	23900000			11100001
2	p	24.3	954	1193	12800000	17000000	gpos	75	4200001
2	p	24.3d	954	1014	12800000	13850000	gpos	75	1050001
2	p	24.3c	1015	1074	13850001	14900000	gpos	75	1050000
2	p	24.3b	1075	1133	14900001	15950000	gpos	75	1050000
2	p	24.3a	1134	1193	15950001	17000000	gpos	75	1050000
2	p	24.2	1193	1312	17000000	19100000	gneg		2100001
2	p	24.2b	1193	1253	17000000	18050000	gneg		1050001
2	p	24.2a	1254	1312	18050001	19100000	gneg		1050000
2	p	24.1	1312	1565	19100000	23900000	gpos	75	4800001
2	p	24.1d	1312	1375	19100000	20300000	gpos	75	1200001
2	p	24.1c	1376	1439	20300001	21500000	gpos	75	1200000
2	p	24.1b	1440	1502	21500001	22700000	gpos	75	1200000
2	p	24.1a	1503	1565	22700001	23900000	gpos	75	1200000
2	p	23	1565	2027	23900000	31900000			8000001
2	p	23.3	1565	1789	23900000	27700000	gneg		3800001
2	p	23.3d	1565	1621	23900000	24850000	gneg		950001
2	p	23.3c	1622	1677	24850001	25800000	gneg		950000
2	p	23.3b	1678	1733	25800001	26750000	gneg		950000
2	p	23.3a	1734	1789	26750001	27700000	gneg		950000
2	p	23.2	1789	1908	27700000	29800000	gpos	25	2100001
2	p	23.2b	1789	1849	27700000	28750000	gpos	25	1050001
2	p	23.2a	1850	1908	28750001	29800000	gpos	25	1050000
2	p	23.1	1908	2027	29800000	31900000	gneg		2100001
2	p	23.1b	1908	1968	29800000	30850000	gneg		1050001
2	p	23.1a	1969	2027	30850001	31900000	gneg		1050000
2	p	22	2027	2609	31900000	41600000			9700001
2	p	22.3	2027	2296	31900000	36400000	gpos	75	4500001
2	p	22.3e	2027	2081	31900000	32800000	gpos	75	900001
2	p	22.3d	2082	2135	32800001	33700000	gpos	75	900000
2	p	22.3c	2136	2188	33700001	34600000	gpos	75	900000
2	p	22.3b	2189	2242	34600001	35500000	gpos	75	900000
2	p	22.3a	2243	2296	35500001	36400000	gpos	75	900000
2	p	22.2	2296	2415	36400000	38400000	gneg		2000001
2	p	22.2b	2296	2356	36400000	37400000	gneg		1000001
2	p	22.2a	2357	2415	37400001	38400000	gneg		1000000
2	p	22.1	2415	2609	38400000	41600000	gpos	50	3200001
2	p	22.1c	2415	2480	38400000	39466667	gpos	50	1066668
2	p	22.1b	2481	2544	39466668	40533333	gpos	50	1066666
2	p	22.1a	2545	2609	40533334	41600000	gpos	50	1066667
2	p	21	2609	2966	41600000	47600000	gneg		6000001
2	p	21f	2609	2669	41600000	42600000	gneg		1000001
2	p	21e	2670	2728	42600001	43600000	gneg		1000000
2	p	21d	2729	2788	43600001	44600000	gneg		1000000
2	p	21c	2789	2847	44600001	45600000	gneg		1000000
2	p	21b	2848	2907	45600001	46600000	gneg		1000000
2	p	21a	2908	2966	46600001	47600000	gneg		1000000
2	p	1	2966	5545	47600000	93300000			45700001
2	p	16	2966	3548	47600000	61100000			13500001
2	p	16.3	2966	3220	47600000	52700000	gpos	100	5100001
2	p	16.3d	2966	3030	47600000	48875000	gpos	100	1275001
2	p	16.3c	3031	3093	48875001	50150000	gpos	100	1275000
2	p	16.3b	3094	3157	50150001	51425000	gpos	100	1275000
2	p	16.3a	3158	3220	51425001	52700000	gpos	100	1275000
2	p	16.2	3220	3294	52700000	54800000	gneg		2100001
2	p	16.2a	3220	3294	52700000	54800000	gneg		2100001
2	p	16.1	3294	3548	54800000	61100000	gpos	100	6300001
2	p	16.1d	3294	3358	54800000	56375000	gpos	100	1575001
2	p	16.1c	3359	3421	56375001	57950000	gpos	100	1575000
2	p	16.1b	3422	3485	57950001	59525000	gpos	100	1575000
2	p	16.1a	3486	3548	59525001	61100000	gpos	100	1575000
2	p	15	3548	3757	61100000	64000000	gneg		2900001
2	p	15d	3548	3600	61100000	61825000	gneg		725001
2	p	15c	3601	3653	61825001	62550000	gneg		725000
2	p	15b	3654	3705	62550001	63275000	gneg		725000
2	p	15a	3706	3757	63275001	64000000	gneg		725000
2	p	14	3757	3935	64000000	70500000	gpos	50	6500001
2	p	14c	3757	3816	64000000	66166667	gpos	50	2166668
2	p	14b	3817	3876	66166668	68333333	gpos	50	2166666
2	p	14a	3877	3935	68333334	70500000	gpos	50	2166667
2	p	13	3935	4353	70500000	75400000			4900001
2	p	13.3	3935	4114	70500000	72600000	gneg		2100001
2	p	13.3c	3935	3995	70500000	71200000	gneg		700001
2	p	13.3b	3996	4054	71200001	71900000	gneg		700000
2	p	13.3a	4055	4114	71900001	72600000	gneg		700000
